Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201400034289,14,1,27,725,2,2,2,8.0,6,275,"., RUE RASPAIL",,,,690
201400040918,14,2,19,2145,5,2,1,1.0,4,64,"750, CARNOT",,,,920
201400029598,14,12,2,1740,5,2,1,2.0,6,395,"0, HAGUENAUER (RUE DU GR",,,,540
201400003525,14,3,11,1615,1,1,1,1.0,1,232,chemin de piquette,M,4376464.0,128949.0,310
201400050132,14,10,27,1720,2,2,1,1.0,6,385,"1, PLACE DE L ANTIQUAILL",,,,690
201400000274,14,9,16,2015,2,1,1,1.0,6,14,,M,5063509.0,234991.0,620
201400027172,14,4,17,1720,1,2,1,1.0,6,184,"180, ADER CLEMENT (RUE)",M,4606043.0,404575.0,420
201400059619,14,2,1,1315,1,2,6,1.0,1,16,GENERAL DE GAULLE (RN2),R,0.0,0.0,974
201400046713,14,9,7,220,5,1,1,1.0,3,18,A4,M,4881900.0,240722.0,940
201400024707,14,10,23,820,1,2,1,1.0,2,63,RUE DE LA PELOUSE DE DOU,,,,330
201400057186,14,9,25,1235,1,2,1,1.0,2,120,", AVENUE GAMBETTA",,,,750
201400026101,14,9,10,1445,1,2,1,1.0,2,44,28 AV MARCEL LEMOINE,M,4681590.0,169685.0,360
201400045867,14,12,4,1415,1,2,2,1.0,3,127,BD DE L'HAUTIL,M,4903170.0,207430.0,950
201400049197,14,6,20,1715,1,1,1,1.0,3,37,"SANS, TOUTES RUES",M,0.0,0.0,202
201400008820,14,6,10,1400,1,1,1,1.0,1,334,,M,4404598.0,440506.0,300
201400022965,14,2,15,2115,3,1,1,1.0,7,207,,M,0.0,0.0,550
201400057674,14,1,8,1,5,2,1,1.0,3,112,ECHANGEUR BERCY,,,,750
201400012215,14,4,18,1755,1,2,3,1.0,1,409,CRUSSY (PLACE),M,4970010.0,494642.0,80
201400032302,14,6,15,2315,5,2,1,1.0,7,24,"95, QUATRE CANTONS (RUE",M,4348817.0,-152677.0,640
201400036795,14,9,2,835,1,2,2,1.0,3,126,Ytzhak RABIN - D63,M,4311227.0,586601.0,830
201400003956,14,11,2,1630,1,1,1,1.0,1,335,,M,4440258.0,128536.0,460
201400002781,14,1,15,1900,5,2,1,1.0,3,332,30 rue Felix Arnaudin,M,4432804.0,-95517.0,400
201400024636,14,10,6,1728,1,2,1,2.0,3,281,"51, AVE HENRI VIGNEAU",,,,330
201400043071,14,6,19,1210,1,2,1,1.0,6,62,"18, MIDI (BOULEVARD DU)",,,,930
201400029274,14,1,31,830,1,2,1,1.0,6,357,AULNES (BATIMENT LES),,,,540
