Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201200000254,12,12,18,1500,1,1,1,2.0,1,314,,M,5039100.0,269300.0,620
201200049333,12,4,28,1822,1,1,1,2.0,6,27,AUTOROUTE A86,M,4892600.0,239972.0,930
201200031655,12,6,6,805,1,2,1,2.0,7,194,PIERRE DE COUBERTIN,,,,580
201200011077,12,1,8,1410,1,2,1,1.0,6,88,"17, PAGANINI (R.)",,,,60
201200047706,12,5,26,1150,1,2,2,1.0,6,80,"., FONTENAY (R DE)",,,,940
201200030486,12,7,7,1215,1,1,1,1.0,1,34,RD 32 VERS ARGENTRE,M,4807426.0,-72927.0,530
201200027466,12,9,24,2300,5,2,6,3.0,1,122,FRANC PALAIS (RUE DU),,,,370
201200016595,12,11,1,1640,1,2,1,1.0,6,55,"6, BD DUGOMMIER",M,4329790.0,538109.0,130
201200009039,12,8,15,1,3,1,1,1.0,7,345,,M,4427888.0,399884.0,300
201200033658,12,7,19,1030,1,2,2,1.0,3,33,"sans, BROSSOLETTE (R PIE",,,,620
201200057810,12,10,31,1420,1,2,1,1.0,2,116,AVENUE DE NEW YORK,,,,750
201200037446,12,5,6,1000,1,2,1,1.0,6,322,BD PIERRE BROSSOLETTE,M,4941488.0,104295.0,760
201200001639,12,10,21,1645,1,1,4,2.0,1,595,LES HAUTS VENTS,M,4958990.0,-147074.0,500
201200028713,12,8,17,1315,1,2,1,1.0,6,55,HENNECART ( BOULEVARD ),,,,440
201200027516,12,8,23,1830,1,2,3,1.0,3,261,GEORGET (RUE),,,,370
201200009452,12,9,9,1745,1,2,1,1.0,7,398,GRANDE RUE,M,4876100.0,183700.0,780
201200059663,12,9,14,150,3,2,3,1.0,1,116,BOULEVARD LANNES,,,,750
201200037562,12,10,9,810,1,2,1,1.0,1,322,BD JULES DUMONT D URVILL,M,4939815.0,104613.0,760
201200006995,12,3,23,2345,3,1,1,1.0,7,363,,M,4993800.0,467400.0,80
201200019743,12,5,29,1,3,1,1,1.0,6,262,,M,0.0,0.0,110
201200036147,12,8,31,1300,1,2,1,3.0,1,91,"x, PAIX (DE LA) ( R )",,,,690
201200024728,12,12,27,1930,5,2,2,1.0,3,318,AVE DU BOURGAILH,,,,330
201200014340,12,1,7,1430,1,2,1,1.0,3,55,"102, BD FRANCOISE DUPARC",M,,,130
201200049086,12,1,9,2105,3,1,1,1.0,3,48,AUTOROUTE A3,,,,930
201200021974,12,6,21,1900,1,2,3,1.0,7,360,"61, Rue A. MALRAUX",M,4849059.0,-273261.0,220
201200052693,12,9,15,700,2,1,1,1.0,2,259,BUS (RD301)  2.800 A 4.4,,,,690
201200001001,12,7,6,315,4,1,1,1.0,6,325,,M,4793959.0,-117893.0,350
201200022507,12,3,6,2050,5,2,6,1.0,3,362,AVENUE VICTOR HUGO,M,4490550.0,488300.0,260
201200054871,12,10,2,1740,1,2,2,1.0,3,108,"47, AVENUE HOCHE",,,,750
201200029348,12,11,27,730,2,2,3,1.0,6,234,R P.LE BEL/ALL GERMAIN A,M,4791076.0,190781.0,450
201200019600,12,5,25,1645,1,1,1,1.0,6,362,,M,4592000.0,324900.0,630
201200023918,12,12,12,1743,5,2,6,1.0,6,189,ALLENDE SALVADOR (RUE),M,4383689.0,438830.0,300
201200042666,12,4,5,1850,1,2,1,1.0,6,48,"12, MARCEL ALLEGOT (RUE)",,,,920
201200053601,12,12,2,1900,5,2,5,8.0,3,101,"43, RUE DE RIVOLI",,,,750
201200020869,12,12,6,1000,2,2,1,1.0,6,300,"2, CORSAIRES   AVENUE DE",,,,170
201200036306,12,2,11,1350,1,2,1,1.0,6,199,"43, RUE CARNOT",,,,690
201200046273,12,11,30,800,2,2,1,1.0,3,69,"148, MARECHAL LECLERC (R",,,,940
201200052082,12,1,19,750,2,2,1,1.0,6,387,"229, GRANDE RUE DE LA GU",,,,690
201200053954,12,10,6,2025,5,2,2,2.0,7,104,"34, BOULEVARD HENRI IV",,,,750
201200013788,12,8,23,1220,1,2,1,1.0,4,176,ESPALION (ROUTE D'),,,,120
201200014814,12,3,12,1745,1,2,1,1.0,5,55,"46, BD MICHELET",,,,130
201200054021,12,3,6,2006,5,2,3,1.0,6,105,"11, RUE CUJAS",,,,750
201200026696,12,5,31,1950,1,2,1,1.0,7,55,"00, DEUX RUISSEAUX (AV.",,,,350
201200027796,12,3,29,1630,1,2,9,1.0,6,185,"10, RUE AIM? PUPIN",,,,380
201200029026,12,11,3,620,5,2,1,1.0,3,109,"., ROUTE DE SAINTE LUCE",,,,440
201200041136,12,2,22,820,2,2,1,1.0,3,421,"41 TER, YERRES (RUE D')",,,,910
201200000274,12,11,30,1630,2,2,9,2.0,6,177,rue de la gare,M,5044800.0,183500.0,620
201200009790,12,5,26,1115,1,2,1,7.0,6,179,ZI LES 3 CHEMINEES,M,4775233.0,167079.0,450
